Longitude,Latitude,city/province,district
106.7039109,10.8117887,TP Hồ Chí Minh,Bình Thạnh
106.6739598,10.8345635,TP Hồ Chí Minh,Gò Vấp
106.5996353,10.7703708,TP Hồ Chí Minh,Bình Tân
106.6278431,10.7914967,TP Hồ Chí Minh,Tân Phú
106.6730488,10.75896,TP Hồ Chí Minh,Quận 9
106.6794379,10.800981,TP Hồ Chí Minh,Phú Nhuận
106.7167622,10.80484845,TP Hồ Chí Minh,Quận 2
106.6609731,10.8616036,TP Hồ Chí Minh,Quận 12
106.7617899,10.8298295,TP Hồ Chí Minh,Thủ Đức
106.6392921,10.745886,TP Hồ Chí Minh,Quận 6
106.6521157,10.802583,TP Hồ Chí Minh,Tân Bình
106.6683666,10.772732,TP Hồ Chí Minh,Quận 10
106.7395591,10.6956953,TP Hồ Chí Minh,Nhà Bè
106.6870156,10.778639,TP Hồ Chí Minh,Quận 3
106.7302238,10.7375481,TP Hồ Chí Minh,Quận 7
106.6296151,10.7217236,TP Hồ Chí Minh,Quận 8
106.6474946,10.7658124,TP Hồ Chí Minh,Quận 11
106.7075519,10.7607328,TP Hồ Chí Minh,Quận 4
106.5763531,10.878345,TP Hồ Chí Minh,Hóc Môn
106.5704726,10.6644881,TP Hồ Chí Minh,Bình Chánh
106.6685441,10.7553616,TP Hồ Chí Minh,Quận 5
106.5024104,11.0370567,TP Hồ Chí Minh,Củ Chi
106.6999907,10.7773145,TP Hồ Chí Minh,Quận 1
