Price,Acreage,Date Posted,Amenities_rating,Floors,days_since_min,Rooms,Distance_to_center
5.8,55,2023-10-02 09:10:30,6.0,4,391,7,4.765577765312098
4.97,43,2023-10-02 09:37:25,2.7,3,391,12,6.9247897538086844
12.5,55,2023-10-02 10:19:00,4.8,4,391,6,9.568380802550516
4.0,40,2023-10-02 10:52:59,3.0,3,391,7,7.621127302391137
1.85,14,2023-10-02 13:33:47,1.5,3,391,5,4.267615531352654
13.38,66,2023-10-02 13:39:00,3.0,2,391,9,7.621127302391137
1.5,24,2023-10-02 14:25:11,4.2,3,391,5,3.1355309029100744
5.2,55,2023-09-30 11:37:22,3.0,4,389,9,3.294632599631027
2.85,40,2023-09-30 12:01:03,3.0,2,389,5,7.163038112902075
4.7,60,2023-09-30 14:16:11,6.0,3,389,6,7.621127302391137
5.0,57,2023-09-30 14:36:01,1.5,2,389,5,9.198068658214853
3.6,60,2023-09-30 14:43:44,6.0,2,389,5,7.163038112902075
3.2,52,2023-09-30 21:22:45,2.7,1,389,5,13.338088016589758
5.5,55,2023-10-01 00:29:03,6.0,2,389,6,9.358332682661967
2.9,40,2023-10-01 06:33:23,3.0,2,389,5,10.527530422973213
12.5,107,2023-10-01 10:45:28,6.0,4,390,9,7.913112076925176
5.8,64,2023-10-01 15:35:14,6.0,3,390,10,6.9247897538086844
6.8,72,2023-10-01 15:45:12,4.8,3,390,7,5.435991079565026
4.9,54,2023-10-01 18:39:23,1.5,1,390,5,3.1355309029100744
4.3,55,2023-10-01 20:51:22,3.3,3,390,4,7.507465652089816
6.28,66,2023-10-01 21:25:02,4.8,2,390,9,7.031684224173031
6.9,68,2023-10-01 22:37:22,4.8,3,390,6,10.527530422973213
7.0,73,2023-10-01 22:45:34,1.5,2,390,6,9.652203006550883
2.4,25,2023-09-28 17:22:56,1.5,3,387,5,5.609554429497919
1.48,20,2023-09-28 17:29:08,6.0,3,387,6,3.939992879354618
6.3,58,2023-09-28 21:29:33,4.8,2,387,5,9.358332682661967
3.05,53,2023-09-28 21:47:05,2.7,2,387,3,3.1355309029100744
5.89,84,2023-09-28 22:32:12,4.8,4,387,8,10.527530422973213
6.8,67,2023-09-29 08:35:35,6.0,4,388,4,7.621127302391137
5.5,55,2023-09-29 09:30:57,2.7,4,388,9,9.358332682661967
3.4,64,2023-09-29 10:00:04,1.5,2,388,3,13.090278231798223
4.5,55,2023-09-29 10:25:39,6.0,3,388,7,9.358332682661967
9.5,55,2023-09-29 11:38:33,4.8,4,388,9,11.426898375614321
10.38,80,2023-09-29 12:17:24,3.3,4,388,8,10.527530422973213
5.2,64,2023-09-29 13:32:54,3.0,2,388,4,7.621127302391137
5.9,76,2023-09-29 14:17:09,6.0,4,388,7,7.621127302391137
6.4,45,2023-09-29 14:56:40,2.7,2,388,8,2.511149614478282
3.5,80,2023-09-29 14:59:27,2.7,2,388,4,10.240431817143143
3.8,64,2023-09-29 14:59:56,2.7,1,388,5,11.726942618268362
11.8,80,2023-09-29 15:08:11,1.5,2,388,8,4.064113191301924
4.6,40,2023-09-29 15:13:23,4.8,3,388,9,9.08938587444684
3.78,28,2023-09-29 16:29:50,6.0,4,388,6,6.9247897538086844
8.5,74,2023-09-29 20:47:31,4.2,4,388,9,12.483553704758409
3.0,49,2023-09-29 22:57:39,3.0,3,388,6,6.031146510655099
5.6,66,2023-09-30 00:40:04,4.8,3,388,6,9.358332682661967
13.38,72,2023-09-30 09:44:30,3.0,2,389,9,7.621127302391137
6.3,68,2023-09-30 10:53:41,6.0,2,389,5,4.064113191301924
1.74,46,2023-09-28 16:52:09,4.2,3,387,7,3.637058881302865
8.35,94,2023-09-28 09:17:53,4.8,1,387,6,4.4569652232866455
5.9,57,2023-09-28 10:13:32,4.8,2,387,8,4.064113191301924
10.7,72,2023-09-28 10:30:02,4.8,2,387,8,6.9247897538086844
5.4,76,2023-09-28 11:15:17,6.0,4,387,7,7.338211880412269
1.98,19,2023-09-28 13:33:52,1.5,2,387,2,4.654633128493446
4.5,56,2023-09-28 15:43:10,1.5,2,387,4,5.609554429497919
3.95,26,2023-09-28 16:12:16,6.0,3,387,5,1.6595280188994603
14.0,45,2023-09-27 18:15:40,4.8,2,386,11,3.023717385504793
6.5,36,2023-09-27 19:47:19,6.0,3,386,6,3.023717385504793
13.0,55,2023-09-27 20:45:12,6.0,2,386,8,9.358332682661967
